level_0,index,Price,Year,Mileage,City,State,Vin,Make,Model,Suggested VIN,Error Code,Possible Values,Additional Error Text,Error Text,Vehicle Descriptor,Destination Market,Make,Manufacturer Name,Model,Model Year,Plant City,Series,Trim,Vehicle Type,Plant Country,Plant Company Name,Plant State,Trim2,Series2,Note,Base Price ($),Non-Land Use,Body Class,Doors,Windows,Wheel Base Type,Track Width (inches),Gross Vehicle Weight Rating From,Bed Length (inches),Curb Weight (pounds),Wheel Base (inches) From,Wheel Base (inches) To,Gross Combination Weight Rating From,Gross Combination Weight Rating To,Gross Vehicle Weight Rating To,Bed Type,Cab Type,Trailer Type Connection,Trailer Body Type,Trailer Length (feet),Other Trailer Info,Number of Wheels,Wheel Size Front (inches),Wheel Size Rear (inches),Entertainment System,Steering Location,Number of Seats,Number of Seat Rows,Transmission Style,Transmission Speeds,Drive Type,Axles,Axle Configuration,Brake System Type,Brake System Description,Other Battery Info,Battery Type,Number of Battery Cells per Module,Battery Current (Amps) From,Battery Voltage (Volts) From,Battery Energy (kWh) From,EV Drive Unit,Battery Current (Amps) To,Battery Voltage (Volts) To,Battery Energy (kWh) To,Number of Battery Modules per Pack,Number of Battery Packs per Vehicle,Charger Level,Charger Power (kW),Engine Number of Cylinders,Displacement (CC),Displacement (CI),Displacement (L),Engine Stroke Cycles,Engine Model,Engine Power (kW),Fuel Type - Primary,Valve Train Design,Engine Configuration,Fuel Type - Secondary,Fuel Delivery / Fuel Injection Type,Engine Brake (hp) From,Cooling Type,Engine Brake (hp) To,Electrification Level,Other Engine Info,Turbo,Top Speed (MPH),Engine Manufacturer,Pretensioner,Seat Belt Type,Other Restraint System Info,Curtain Air Bag Locations,Seat Cushion Air Bag Locations,Front Air Bag Locations,Knee Air Bag Locations,Side Air Bag Locations,Anti-lock Braking System (ABS),Electronic Stability Control (ESC),Traction Control,Tire Pressure Monitoring System (TPMS) Type,Active Safety System Note,Auto-Reverse System for Windows and Sunroofs,Automatic Pedestrian Alerting Sound (for Hybrid and EV only),Event Data Recorder (EDR),Keyless Ignition,SAE Automation Level From,SAE Automation Level To,Adaptive Cruise Control (ACC),Crash Imminent Braking (CIB),Blind Spot Warning (BSW),Forward Collision Warning (FCW),Lane Departure Warning (LDW),Lane Keeping Assistance (LKA),Backup Camera,Parking Assist,Bus Length (feet),Bus Floor Configuration Type,Bus Type,Other Bus Info,Custom Motorcycle Type,Motorcycle Suspension Type,Motorcycle Chassis Type,Other Motorcycle Info,Dynamic Brake Support (DBS),Pedestrian Automatic Emergency Braking (PAEB),Automatic Crash Notification (ACN) / Advanced Automatic Crash Notification (AACN),Daytime Running Light (DRL),Headlamp Light Source,Semiautomatic Headlamp Beam Switching,Adaptive Driving Beam (ADB),Rear Cross Traffic Alert,Rear Automatic Emergency Braking,Blind Spot Intervention (BSI),Lane Centering Assistance
0,15892,14281,2017,27296,San Mateo,CA,3KPFL4A70HE061291,Kia,ForteLX,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,3KPFL4A7*HE,,KIA,KIA  MEXICO S.A. DE C.V.,Forte,2017,TIJUANA,"LX Popular, S",,PASSENGER CAR,MEXICO,KMM,,,,,18200,,Sedan/Saloon,4,,,,,,,106.30,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,4,16,16,,Left-Hand Drive (LHD),5,2,,,,2,,,,,,,,,,,,,,,,,,4,2000.0,122.04748818946,2.0,,MPI Nu,109.6179,Gasoline,Dual Overhead Cam (DOHC),,,,147,,,,,,120,KMC,,Manual,,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,Standard,Standard,Direct,,Standard,,,Optional,,,,Optional,Optional,Optional,Optional,Optional,Standard,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,Standard,,,Standard,,Standard,,,,,
1,15893,13381,2017,38279,Victorville,CA,3KPFL4A7XHE021641,Kia,ForteLX,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,3KPFL4A7*HE,,KIA,KIA  MEXICO S.A. DE C.V.,Forte,2017,TIJUANA,"LX Popular, S",,PASSENGER CAR,MEXICO,KMM,,,,,18200,,Sedan/Saloon,4,,,,,,,106.30,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,4,16,16,,Left-Hand Drive (LHD),5,2,,,,2,,,,,,,,,,,,,,,,,,4,2000.0,122.04748818946,2.0,,MPI Nu,109.6179,Gasoline,Dual Overhead Cam (DOHC),,,,147,,,,,,120,KMC,,Manual,,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,Standard,Standard,Direct,,Standard,,,Optional,,,,Optional,Optional,Optional,Optional,Optional,Standard,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,Standard,,,Standard,,Standard,,,,,
2,15894,13781,2017,33527,Victorville,CA,3KPFL4A70HE008980,Kia,ForteLX,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,3KPFL4A7*HE,,KIA,KIA  MEXICO S.A. DE C.V.,Forte,2017,TIJUANA,"LX Popular, S",,PASSENGER CAR,MEXICO,KMM,,,,,18200,,Sedan/Saloon,4,,,,,,,106.30,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,4,16,16,,Left-Hand Drive (LHD),5,2,,,,2,,,,,,,,,,,,,,,,,,4,2000.0,122.04748818946,2.0,,MPI Nu,109.6179,Gasoline,Dual Overhead Cam (DOHC),,,,147,,,,,,120,KMC,,Manual,,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,Standard,Standard,Direct,,Standard,,,Optional,,,,Optional,Optional,Optional,Optional,Optional,Standard,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,Standard,,,Standard,,Standard,,,,,
3,15895,10911,2016,10206,Montebello,CA,KNADM4A37G6637106,Kia,RioSedan,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,KNADM4A3*G6,,KIA,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),Rio,2016,SOHARI,LX A/T,,PASSENGER CAR,SOUTH KOREA,Kia Motors Corporation,,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1600.0,97.63799055157,1.6,,Gamma,102.9066,Gasoline,Dual Overhead Cam (DOHC),In-Line,,,138,,,,,,,,,Manual,,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
4,15896,14573,2017,12155,Dublin,CA,3KPFL4A78HE005762,Kia,ForteS,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,3KPFL4A7*HE,,KIA,KIA  MEXICO S.A. DE C.V.,Forte,2017,TIJUANA,"LX Popular, S",,PASSENGER CAR,MEXICO,KMM,,,,,18200,,Sedan/Saloon,4,,,,,,,106.30,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,4,16,16,,Left-Hand Drive (LHD),5,2,,,,2,,,,,,,,,,,,,,,,,,4,2000.0,122.04748818946,2.0,,MPI Nu,109.6179,Gasoline,Dual Overhead Cam (DOHC),,,,147,,,,,,120,KMC,,Manual,,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,Standard,Standard,Direct,,Standard,,,Optional,,,,Optional,Optional,Optional,Optional,Optional,Standard,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,Standard,,,Standard,,Standard,,,,,
5,15897,14000,2016,22252,Cathedral City,CA,KNAFX4A83G5555262,Kia,ForteAutomatic,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,KNAFX4A8*G5,,KIA,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),Forte,2016,HWASUNG,,"GLS, JSL, TAX (Middle Grade)",PASSENGER CAR,SOUTH KOREA,Kia Motors Corporation,,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2000,122.0474881894,2,,GDI Nu,,Gasoline,Dual Overhead Cam (DOHC),In-Line,,,,,,,,,,,,Manual,,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
6,15898,14281,2017,27837,Victorville,CA,3KPFL4A76HE017649,Kia,ForteLX,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,3KPFL4A7*HE,,KIA,KIA  MEXICO S.A. DE C.V.,Forte,2017,TIJUANA,"LX Popular, S",,PASSENGER CAR,MEXICO,KMM,,,,,18200,,Sedan/Saloon,4,,,,,,,106.30,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,4,16,16,,Left-Hand Drive (LHD),5,2,,,,2,,,,,,,,,,,,,,,,,,4,2000.0,122.04748818946,2.0,,MPI Nu,109.6179,Gasoline,Dual Overhead Cam (DOHC),,,,147,,,,,,120,KMC,,Manual,,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,Standard,Standard,Direct,,Standard,,,Optional,,,,Optional,Optional,Optional,Optional,Optional,Standard,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,Standard,,,Standard,,Standard,,,,,
7,15899,14281,2017,27957,Fairfield,CA,3KPFL4A71HE007207,Kia,ForteLX,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,3KPFL4A7*HE,,KIA,KIA  MEXICO S.A. DE C.V.,Forte,2017,TIJUANA,"LX Popular, S",,PASSENGER CAR,MEXICO,KMM,,,,,18200,,Sedan/Saloon,4,,,,,,,106.30,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,4,16,16,,Left-Hand Drive (LHD),5,2,,,,2,,,,,,,,,,,,,,,,,,4,2000.0,122.04748818946,2.0,,MPI Nu,109.6179,Gasoline,Dual Overhead Cam (DOHC),,,,147,,,,,,120,KMC,,Manual,,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,Standard,Standard,Direct,,Standard,,,Optional,,,,Optional,Optional,Optional,Optional,Optional,Standard,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,Standard,,,Standard,,Standard,,,,,
8,15900,13381,2017,39051,Victorville,CA,3KPFL4A77HE016039,Kia,ForteLX,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,3KPFL4A7*HE,,KIA,KIA  MEXICO S.A. DE C.V.,Forte,2017,TIJUANA,"LX Popular, S",,PASSENGER CAR,MEXICO,KMM,,,,,18200,,Sedan/Saloon,4,,,,,,,106.30,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,4,16,16,,Left-Hand Drive (LHD),5,2,,,,2,,,,,,,,,,,,,,,,,,4,2000.0,122.04748818946,2.0,,MPI Nu,109.6179,Gasoline,Dual Overhead Cam (DOHC),,,,147,,,,,,120,KMC,,Manual,,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,Standard,Standard,Direct,,Standard,,,Optional,,,,Optional,Optional,Optional,Optional,Optional,Standard,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,Standard,,,Standard,,Standard,,,,,
9,15901,13900,2016,12122,Dublin,CA,KNAFK4A65G5563635,Kia,ForteAutomatic,,0,,,0 - VIN decoded clean. Check Digit (9th position) is correct,KNAFK4A6*G5,,KIA,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),Forte,2016,HWASUNG,,GL (Middle-Low Grade),PASSENGER CAR,SOUTH KOREA,Kia Motors Corporation,,,,,,,Sedan/Saloon,4,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1800.0,109.84273937051,1.8,,MPI Nu,,Gasoline,Dual Overhead Cam (DOHC),In-Line,,,,,,,,,,,,Manual,,1st and 2nd Rows,,1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,Direct,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,
